epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.631,1.62991,2.13408,1.14458,0.62613,0.2516,0.2803,0.16879,1.5845,1.72723,1.04946,0.000237619,0.000237619,0.000237619
2,576.791,1.55101,1.41836,1.13083,0.66338,0.27339,0.30654,0.18506,1.5406,1.42472,1.05592,0.000463848,0.000463848,0.000463848
3,857.032,1.53866,1.29694,1.12714,0.55807,0.28924,0.31753,0.19158,1.54412,1.28493,1.0541,0.000678295,0.000678295,0.000678295
4,1138.08,1.51516,1.22722,1.11674,0.57789,0.28847,0.32454,0.19482,1.5341,1.25504,1.05307,0.000660986,0.000660986,0.000660986
5,1419.2,1.49059,1.17068,1.10687,0.63187,0.29993,0.34241,0.20663,1.52544,1.19851,1.04319,0.000643314,0.000643314,0.000643314
6,1702.17,1.46953,1.12956,1.09554,0.56935,0.31738,0.35226,0.21267,1.49618,1.14569,1.02941,0.000625642,0.000625642,0.000625642
7,1986.56,1.45834,1.10682,1.09098,0.61002,0.31468,0.35197,0.21442,1.48375,1.11556,1.03516,0.000607971,0.000607971,0.000607971
8,2273.74,1.43793,1.08065,1.08499,0.61245,0.32134,0.35764,0.21794,1.47026,1.10375,1.03141,0.0005903,0.0005903,0.0005903
9,2560.92,1.43122,1.0603,1.08123,0.61321,0.31855,0.36301,0.2242,1.45714,1.06551,1.01515,0.000572628,0.000572628,0.000572628
10,2847.68,1.41762,1.04402,1.07438,0.61168,0.3288,0.36911,0.2276,1.45338,1.05121,1.02137,0.000554956,0.000554956,0.000554956
11,3135.6,1.41501,1.03704,1.07325,0.62513,0.33047,0.37128,0.22716,1.44487,1.0455,1.01973,0.000537285,0.000537285,0.000537285
12,3424.66,1.40618,1.02194,1.07081,0.57461,0.34038,0.3712,0.22989,1.43691,1.03836,1.01283,0.000519613,0.000519613,0.000519613
13,3709.19,1.39759,1.0044,1.06628,0.58594,0.34341,0.37145,0.22833,1.43702,1.04196,1.01582,0.000501942,0.000501942,0.000501942
